HITId,AssignmentId,WorkerId,Input.ads_id,Input.atypical,Input.topic,Input.action_a,Input.action_b,Input.action_c,Input.action_d,Input.action_e,Input.action_correct,Answer.age.age_18,Answer.age.age_18_24,Answer.age.age_25_34,Answer.age.age_35_44,Answer.age.age_45_54,Answer.age.age_55_64,Answer.age.age_65,Answer.age.unknown,Answer.artistic_1.agree,Answer.artistic_1.disagree,Answer.artistic_1.neutral,Answer.artistic_2.agree,Answer.artistic_2.disagree,Answer.artistic_2.neutral,Answer.artistic_3.agree,Answer.artistic_3.disagree,Answer.artistic_3.neutral,Answer.atypicality_1.agree,Answer.atypicality_1.disagree,Answer.atypicality_1.neutral,Answer.atypicality_2.agree,Answer.atypicality_2.disagree,Answer.atypicality_2.neutral,Answer.atypicality_3.agree,Answer.atypicality_3.disagree,Answer.atypicality_3.neutral,Answer.effectiveness.a,Answer.effectiveness.b,Answer.effectiveness.c,Answer.effectiveness.d,Answer.effectiveness.e,Answer.overall.1,Answer.overall.2,Answer.overall.3,Answer.overall.4,Answer.overall.5,Answer.pc_1.agree,Answer.pc_1.disagree,Answer.pc_1.neutral,Answer.pc_2.agree,Answer.pc_2.disagree,Answer.pc_2.neutral,Answer.pc_3.agree,Answer.pc_3.disagree,Answer.pc_3.neutral,Answer.worker_feedbacks,Answer.worker_location_live,Input.topic_text,Input.super_topic,Answer.ethnicity.no,Answer.ethnicity.not_say,Answer.ethnicity.yes,Answer.gender.female,Answer.gender.male,Answer.gender.nb,Answer.gender.not_say,Answer.growing_up,Answer.race.american_indian,Answer.race.asian,Answer.race.black,Answer.race.hawaiian,Answer.race.not_say,Answer.race.other_race,Answer.race.white,unique_id,effectiveness_correct,value_pc_1,value_pc_2,value_pc_3,acc_raw_pc,acc_th0_pc,acc_th3_pc,acc_single_pc,acc_norm_raw_pc,acc_norm_th0_pc,acc_norm_th3_pc,value_atypicality_1,value_atypicality_2,value_atypicality_3,acc_raw_atypicality,acc_th0_atypicality,acc_th3_atypicality,acc_single_atypicality,acc_norm_raw_atypicality,acc_norm_th0_atypicality,acc_norm_th3_atypicality,value_artistic_1,value_artistic_2,value_artistic_3,acc_raw_artistic,acc_th0_artistic,acc_th3_artistic,acc_single_artistic,acc_norm_raw_artistic,acc_norm_th0_artistic,acc_norm_th3_artistic,value_effectiveness,value_overall,demo_location,demo_age,value_overall_norm
3WPCIUYH2TO9QZ7Q8U6GCEOMIHRTDG,3MTMREQS4FY66T629RPRYHI63D4WAZ,AAGBW25TZVAX7,0/84620.jpg,True,"""Media and arts (TV shows, movies, musicals, books, audio books, etc.)"" ",I should get a porsche,I should get some tap shoes.,i should try this product,I should eat kfc,i should want to go here,b,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,,United States,,,,,,,,,,,,,,,,,,10,False,1,1,1,3,1,1,1,1,1,0,0,1,0,1,1,0,1,0,0,0,1,1,1,3,1,1,1,1,1,0,e,4,United States,40,1
3WPCIUYH2TO9QZ7Q8U6GCEOMIHRTDG,3OS4RQUCRTV9EHPZPGFNP4GCNY3FBS,A377LTGWJKY2IW,0/84620.jpg,True,"""Media and arts (TV shows, movies, musicals, books, audio books, etc.)"" ",I should get a porsche,I should get some tap shoes.,i should try this product,I should eat kfc,i should want to go here,b,False,False,False,False,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,True,False,False,,Canada,,,,,,,,,,,,,,,,,,11,True,1,0,1,2,1,0,1,1,1,0,1,1,1,3,1,1,1,1,1,0,1,0,1,2,1,0,1,0,0,0,b,4,Canada,60,0
3WPCIUYH2TO9QZ7Q8U6GCEOMIHRTDG,3PB5A5BD0FMSQ5I4NJ9P2NUSA267GQ,A2COPP4Y0UYN0B,0/84620.jpg,True,"""Media and arts (TV shows, movies, musicals, books, audio books, etc.)"" ",I should get a porsche,I should get some tap shoes.,i should try this product,I should eat kfc,i should want to go here,b,False,False,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,True,False,False,True,False,False,,Portugal,,,,,,,,,,,,,,,,,,12,True,1,1,1,3,1,1,1,1,1,0,1,1,1,3,1,1,1,1,1,0,1,0,1,2,1,0,1,1,1,0,b,5,Portugal,50,1
3WPCIUYH2TO9QZ7Q8U6GCEOMIHRTDG,3PDJHANYKPWNM1ZAOFMFH96XQ22H6L,A3I9XLIHPPWPN1,0/84620.jpg,True,"""Media and arts (TV shows, movies, musicals, books, audio books, etc.)"" ",I should get a porsche,I should get some tap shoes.,i should try this product,I should eat kfc,i should want to go here,b,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,,United States,,,,,,,,,,,,,,,,,,13,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,1,1,1,1,1,0,b,3,United States,60,0
3WPCIUYH2TO9QZ7Q8U6GCEOMIHRTDG,3R8YZBNQ91YJ3UCIQFE1W1YUBAQQ7G,A2R1GDWV4RLIUY,0/84620.jpg,True,"""Media and arts (TV shows, movies, musicals, books, audio books, etc.)"" ",I should get a porsche,I should get some tap shoes.,i should try this product,I should eat kfc,i should want to go here,b,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,,USA,,,,,,,,,,,,,,,,,,14,False,1,1,1,3,1,1,1,1,1,0,-1,-1,-1,-3,0,0,0,-1,0,0,1,0,1,2,1,0,1,0,0,0,c,4,USA,40,0
3WPCIUYH2TO9QZ7Q8U6GCEOMIHRTDG,3WLEIWSYH8XZ40G91DACRWPLAY3H29,A2VO8C41JJIQY9,0/84620.jpg,True,"""Media and arts (TV shows, movies, musicals, books, audio books, etc.)"" ",I should get a porsche,I should get some tap shoes.,i should try this product,I should eat kfc,i should want to go here,b,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,,India,,,,,,,,,,,,,,,,,,15,False,1,1,1,3,1,1,1,1,1,0,-1,-1,-1,-3,0,0,0,-1,0,0,1,0,1,2,1,0,1,1,1,0,e,4,India,40,0
3WPCIUYH2TO9QZ7Q8U6GCEOMIHRTDG,3ZDAD0O1TLTQAPA1PWCUV5M5XF0XT2,AZLZA0Q87TJZO,0/84620.jpg,True,"""Media and arts (TV shows, movies, musicals, books, audio books, etc.)"" ",I should get a porsche,I should get some tap shoes.,i should try this product,I should eat kfc,i should want to go here,b,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,,United States,,,,,,,,,,,,,,,,,,16,True,1,1,1,3,1,1,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1,1,3,1,1,1,1,1,0,b,4,United States,50,0
3WPCIUYH2TO9QZ7Q8U6GCEOMIHRTDG,3ZPPDN2SLFCYKAA6WLHLGG0MRYX9EC,A9HQ3E0F2AGVO,0/84620.jpg,True,"""Media and arts (TV shows, movies, musicals, books, audio books, etc.)"" ",I should get a porsche,I should get some tap shoes.,i should try this product,I should eat kfc,i should want to go here,b,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,,USA,,,,,,,,,,,,,,,,,,17,True,1,1,1,3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,0,1,0,0,0,b,3,USA,40,-1
3WPCIUYH2TO9QZ7Q8U6GCEOMIHRTDG,3ZPPDN2SLFCYKAA6WLHLGG0MSCS9E0,A2I4PRZ9IZMKON,0/84620.jpg,True,"""Media and arts (TV shows, movies, musicals, books, audio books, etc.)"" ",I should get a porsche,I should get some tap shoes.,i should try this product,I should eat kfc,i should want to go here,b,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,True,False,False,True,False,False,,United States,,,,,,,,,,,,,,,,,,18,True,1,1,1,3,1,1,1,1,1,0,1,1,1,3,1,1,1,1,1,0,1,1,1,3,1,1,1,1,1,0,b,5,United States,30,1
3WPCIUYH2TO9QZ7Q8U6GCEOMIHRTDG,3ZWFC4W1UENWUO6OLD1DPJLGAZBFR9,A1OZPLHNIU1519,0/84620.jpg,True,"""Media and arts (TV shows, movies, musicals, books, audio books, etc.)"" ",I should get a porsche,I should get some tap shoes.,i should try this product,I should eat kfc,i should want to go here,b,False,False,False,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,,USA,,,,,,,,,,,,,,,,,,19,True,1,1,1,3,1,1,1,1,1,0,-1,-1,-1,-3,0,0,0,-1,0,0,1,0,1,2,1,0,1,1,1,0,b,4,USA,60,0
3IQ9O0AYXPFQYANC087R3B4ZAMZIT7,31Q0U3WYD9VVMQS150OMV0QM89P17E,A3B7TNVOISSZ2O,0/85300.jpg,False,"""Vacation and travel (airlines, cruises, theme parks, hotels, travel agents, etc.)"" ",I should visit this place,I should buy these undergarments.,I should take photos when I travel.,I should buy this product because it provides many toy figures at a low price that is far below the retail price.,I should use Olay soap,c,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,It's hard to tell what this image is.,United States of America,,,,,,,,,,,,,,,,,,20,False,-1,-1,-1,-3,1,1,0,-1,1,0,-1,-1,-1,-3,1,1,0,-1,1,0,-1,0,-1,-2,1,1,0,0,1,0,a,1,United States of America,50,-1
3IQ9O0AYXPFQYANC087R3B4ZAMZIT7,34YB12FSQI4BB8PRRPBEL5RI2QIGMM,A1DMXEJGJY02E1,0/85300.jpg,False,"""Vacation and travel (airlines, cruises, theme parks, hotels, travel agents, etc.)"" ",I should visit this place,I should buy these undergarments.,I should take photos when I travel.,I should buy this product because it provides many toy figures at a low price that is far below the retail price.,I should use Olay soap,c,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False,,USA,,,,,,,,,,,,,,,,,,21,False,1,0,1,2,1,0,1,1,1,0,1,1,1,3,1,1,1,1,1,0,0,-1,-1,-2,1,1,0,0,1,0,a,2,USA,40,0
3IQ9O0AYXPFQYANC087R3B4ZAMZIT7,35LDD5557UKGDULAHGWTJXJB93SMKG,A41APS6V2Z1FJ,0/85300.jpg,False,"""Vacation and travel (airlines, cruises, theme parks, hotels, travel agents, etc.)"" ",I should visit this place,I should buy these undergarments.,I should take photos when I travel.,I should buy this product because it provides many toy figures at a low price that is far below the retail price.,I should use Olay soap,c,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,,US,,,,,,,,,,,,,,,,,,22,False,0,-1,-1,-2,0,0,0,-1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,-1,-1,1,1,0,0,1,0,a,2,US,50,0
3IQ9O0AYXPFQYANC087R3B4ZAMZIT7,37TRT2X24A7PJJBV86684284HVHBJ5,A3I9XLIHPPWPN1,0/85300.jpg,False,"""Vacation and travel (airlines, cruises, theme parks, hotels, travel agents, etc.)"" ",I should visit this place,I should buy these undergarments.,I should take photos when I travel.,I should buy this product because it provides many toy figures at a low price that is far below the retail price.,I should use Olay soap,c,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,,United States,,,,,,,,,,,,,,,,,,23,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,1,1,1,0,1,0,a,3,United States,60,0
3IQ9O0AYXPFQYANC087R3B4ZAMZIT7,39DD6S19J9RDQ1SJ0JBKT42F6AYZEC,A377LTGWJKY2IW,0/85300.jpg,False,"""Vacation and travel (airlines, cruises, theme parks, hotels, travel agents, etc.)"" ",I should visit this place,I should buy these undergarments.,I should take photos when I travel.,I should buy this product because it provides many toy figures at a low price that is far below the retail price.,I should use Olay soap,c,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,,Canada,,,,,,,,,,,,,,,,,,24,False,1,1,1,3,1,1,1,1,1,0,1,1,1,3,1,1,1,1,1,0,1,0,0,1,1,0,1,-1,0,0,a,4,Canada,60,0
3IQ9O0AYXPFQYANC087R3B4ZAMZIT7,3C2NJ6JBKUXREW2K4B5PWGMHWAI2N9,A2VO8C41JJIQY9,0/85300.jpg,False,"""Vacation and travel (airlines, cruises, theme parks, hotels, travel agents, etc.)"" ",I should visit this place,I should buy these undergarments.,I should take photos when I travel.,I should buy this product because it provides many toy figures at a low price that is far below the retail price.,I should use Olay soap,c,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,,India,,,,,,,,,,,,,,,,,,25,True,-1,-1,-1,-3,1,1,0,-1,1,0,-1,-1,-1,-3,0,0,0,-1,0,0,-1,1,-1,-1,1,0,1,0,1,0,c,1,India,40,-1
3IQ9O0AYXPFQYANC087R3B4ZAMZIT7,3EWIJTFFV8NGOGMTWPYSN5ZTM9EE08,AZLZA0Q87TJZO,0/85300.jpg,False,"""Vacation and travel (airlines, cruises, theme parks, hotels, travel agents, etc.)"" ",I should visit this place,I should buy these undergarments.,I should take photos when I travel.,I should buy this product because it provides many toy figures at a low price that is far below the retail price.,I should use Olay soap,c,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,,United States,,,,,,,,,,,,,,,,,,26,False,1,1,0,2,1,1,1,1,1,0,0,-1,0,-1,1,0,0,0,0,0,1,1,1,3,1,1,1,1,1,0,a,3,United States,50,0
3IQ9O0AYXPFQYANC087R3B4ZAMZIT7,3GLB5JMZFHB87EJEEWCB2F4OSIQGDF,A3RVHUY67SVXQV,0/85300.jpg,False,"""Vacation and travel (airlines, cruises, theme parks, hotels, travel agents, etc.)"" ",I should visit this place,I should buy these undergarments.,I should take photos when I travel.,I should buy this product because it provides many toy figures at a low price that is far below the retail price.,I should use Olay soap,c,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,,USA,,,,,,,,,,,,,,,,,,27,False,1,1,1,3,1,1,1,1,1,0,1,1,1,3,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,0,a,2,USA,40,0
3IQ9O0AYXPFQYANC087R3B4ZAMZIT7,3L0KT67Y8YWEVUNW5ST64EXS2CKYSD,A1OZPLHNIU1519,0/85300.jpg,False,"""Vacation and travel (airlines, cruises, theme parks, hotels, travel agents, etc.)"" ",I should visit this place,I should buy these undergarments.,I should take photos when I travel.,I should buy this product because it provides many toy figures at a low price that is far below the retail price.,I should use Olay soap,c,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,,USA,,,,,,,,,,,,,,,,,,28,False,1,1,1,3,1,1,1,1,1,0,1,1,0,2,1,0,1,1,1,0,1,0,0,1,1,0,1,0,1,0,a,3,USA,60,0
3IQ9O0AYXPFQYANC087R3B4ZAMZIT7,3LRLIPTPEAPFBTCLKD6OA6OBFU9KAG,A2XZLEY2RCF5VM,0/85300.jpg,False,"""Vacation and travel (airlines, cruises, theme parks, hotels, travel agents, etc.)"" ",I should visit this place,I should buy these undergarments.,I should take photos when I travel.,I should buy this product because it provides many toy figures at a low price that is far below the retail price.,I should use Olay soap,c,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,,Canada,,,,,,,,,,,,,,,,,,29,False,1,0,0,1,1,0,1,0,1,0,1,1,1,3,1,1,1,1,1,0,1,0,1,2,1,1,1,1,1,0,a,4,Canada,40,0
3IQ9O0AYXPFQYANC087R3B4ZAMZIT7,3MMN5BL1WJKAHWD3WA4U2B291M8M3K,A2I4PRZ9IZMKON,0/85300.jpg,False,"""Vacation and travel (airlines, cruises, theme parks, hotels, travel agents, etc.)"" ",I should visit this place,I should buy these undergarments.,I should take photos when I travel.,I should buy this product because it provides many toy figures at a low price that is far below the retail price.,I should use Olay soap,c,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,,United States,,,,,,,,,,,,,,,,,,30,False,1,1,1,3,1,1,1,1,1,0,1,1,1,3,1,1,1,1,1,0,-1,-1,-1,-3,1,1,0,-1,1,0,a,2,United States,30,0
